HLD,36,10
SZD,46,3
SHD,68,35
JJG,1356,4
EUG,359,10
TNS,244

8b00000Y6500,Y65,240805,0
DHJ,,19:08
TFR,1088

8600000Y6560,Y65,240814,0
ZYJ,,19:58
WAR,1161

3800000Y6540,Y65,240902,0
ZZF,,19:01
LYF,105,14
SMF,101,10
XAY,282,6
BJY,127,16
WAR,598,25
KTR,212,15
BXR,588

8b00000Y6510,Y65,240906,0
DHJ,,05:10
TFR,486

9200000Y6500,Y65,240928,0
HMR,,08:37
TFR,279,10
WAR,113

8500000Y6640,Y66,240821,0
TSJ,,18:38
BJY,199,6
XAY,118,41
新丰镇,66,30
SXF,152,21
LYF,121,18
BFF,112,6
NAF,52,10
NFF,43

9300000Y6600,Y66,240930,0
WAR,,11:00
TFR,112,8
DHR,511,8
JGJ,211,8
ZYJ,148,6
WWJ,191,15
LZJ,238,26
TSJ,410,6
BJY,199,6
XAY,118,41
新丰镇,66,30
SXF,152,21
LYF,121

8500000Y6650,Y66,241016,0
LZJ,,11:42
TSJ,410,6
BJY,199,6
XAY,118,41
新丰镇,66,30
SXF,152,21
LYF,121

4000000Y6800,Y65,240816,0
NFF,,16:10
NAF,55,10
BFF,65,10
LYF,120,30
SXF,133,10
新丰镇,161,47
XAY,42,6
BJY,127,16
TSJ,111

8000000Y7240,Y72,241103,0
KMM,,22:08
QJM,110,5
XWM,77,5
UMW,99,20
ASW,178,7
GIW,92

3900000Y7800,Y78,240802,0
XUN,,16:52
HFH,342,16
WHH,229,17
SHH,657

6500000Y8840,Y88,241023,0
SZQ,,22:48
HYQ,626

6500000Y8850,Y88,241024,0
6500000Y8860,Y88,241029,0
SZQ,,22:48
SGQ,401,6
CZQ,105,6
HYQ,108

6500000Y8870,Y88,241115,0
SZQ,,22:48
SGQ,401,6
CZQ,105,6
HYQ,108,6
ZZQ,86

6500000Y8880,Y88,241119,0
SZQ,,22:48
SGQ,401,6
CZQ,105,6
HYQ,108,6
ZZQ,86,20
CSQ,54

6200000Y9230,Y92,241030,0
XTQ,,20:27
ZZQ,57,18
PXG,51,13
YEG,41,5
XUG,35,6
ZSG,45,5
XTG,110,8
JJG,116

6200000Y9240,Y92,241207,0
XTQ,,20:27
ZZQ,57,18
PXG,51,13
YEG,41,5
XUG,35,6
ZSG,45,5
YTG,273

4900000Y9430,Y94,240927,0
LCK,,17:52
JJG,1282

570000Y101C0,Y101,241019,0
GZG,,00:16
LUQ,213,16
DMQ,144,6
BJQ,161

570000Y101D0,Y101,241023,0
GZG,,23:55
LUQ,234,16
DMQ,144,6
BJQ,161

490000Y10200,Y102,240812,0
CEK,,19:20
LCK,15,6
WFK,76,11
ZBK,62,18
JAK,75,9
UCK,101,47
VBB,147

650000Y102A0,Y102,241019-21,0
BJQ,,21:10
HIK,163,44
YZK,91,47
TAK,104,3
JNK,46,6
ZBK,70,6
WFK,58,4
LCK,71,6
YAK,131

650000Y102B0,Y102,241127,0
BJQ,,21:03
GZG,572,6
XTG,284,21
JJG,143

150000Y103A0,Y103,240617,0
SHD,,15:09
JZD,140,8
VBB,670

150000Y103D0,Y103,240620,0
SHD,,15:24
JZD,125,8
VBB,670

150000Y103C0,Y103,240621,0
SHD,,15:24
HLD,83,2
JZD,40,8
SBT,250,25
CCT,204,8
VBB,183

150000Y103G0,Y103,240622,0
SHD,,15:24
JZD,125,8
SBT,250,25
CCT,204,8
LLB,114,03:38
VBB,69

150000Y103E0,Y103,240623,0
PVD,,15:55
SBT,352,25
VBB,395

150000Y103H0,Y103,240624,0
150000Y103J0,Y103,240626,0
SHD,,15:24
VBB,803

150000Y103I0,Y103,240628,0
PVD,,15:55
SBT,352,25
VBB,395

120000Y103H0,Y103,240701,0
SBT,,22:12
VBB,395

120000Y103I0,Y103,240702-03,0
SBT,,22:12
CCT,204,8
VBB,183

