芙蓉南,KCQ,15
抚顺北,FET,15:30
富顺,FSE,
佛山,FSQ,14
扶绥,FSZ,17:30
佛山西,FOQ,14
福田,NZQ,14
凤县,FXY,18
阜新,FOT,15:30
肥西,FAH,12:30
阜新南,FXD,15:30
阜阳,FYH,13
富阳,FYU,10:30
扶余北,FBT,16:30
分宜,FYG,17:30
富蕴,FYR,09
富源,FYM,15
抚远,FYB,16:30
富裕,FYX,16:30
阜阳西,FXU,13
丰镇,FZC,15
凤州,FZY,18
抚州,FZG,17:30
方正,FNB,09
广安南,VUW,15
广安,VJW,15
高安,GCG,17:30
贵安,GAE,15:30
古北口,GKP,16
藁城,GEP,16
藁城南,GUP,16
高村,GCV,15
古东,GDV,15
格尔木,GRO,15
贵港,GGZ,17:30
甘谷,GGJ,11:30
根河,GEX,16:30
高花,HGD,16:30
古交,GJV,15
皋兰,GEJ,11:30
桂林北,GBZ,17
高楞,GLB,09
桂林,GLZ,17
古莲,GRX,16:30
甘洛,VOW,15:30
公庙子,GMC,15
广南县,GXM,15
桂平,GAZ,17:30
共青城,GAG,17:30
固始,GXN,18
广水,GSN,15
谷山,FFQ,17:30
观沙岭,FKQ,17:30
干塘,GNJ,
广通北,GPM,15
古田会址,STS,
高兴,VWW,15:30
高邑,GIP,16
巩义,GXF,17:30
巩义南,GYF,17:30
固原,GUJ,11:30
广元,GYW,12:30
赣榆,GYU,17:30
高邑西,GNP,16
高州,GSQ,14
赣州,GZG,15:30
公主岭,GLT,16:30
公主岭南,GBT,16:30
冠豸山,GPS,18
盖州西,GAT,16:30
赣州西,GOG,15:30
淮安东,HAU,17
淮安,AUH,17
红安西,VXN,18
淮北,HRH,18
鹤北,HMB,16:30
淮滨,HVN,18
河边,HBV,15
湖潮东,HCE,
韩城,HCY,17:30
合川,WKW,15:30
珲春,HUL,16:30
潢川,KCN,15:30
海城,HCT,16:30
花城街,HCA,14
黄村,HCP,16
海城西,HXT,16:30
邯郸,HDP,14:30
河东机场,HFJ,11:30
邯郸东,HPP,14:30
惠东南,KDQ,
哈达铺,HDJ,11:30
花都,HAA,14
洪洞西,HTV,15
横道河子,HDB,16:30
霍尔果斯,HFR,09
鹤岗,HGB,16:30
黄冈东,KAN,18
红果,HEM,15
汉沽,HGP,16
红光镇,IGW,15:30
红河,HHM,
黑河,HJB,16:30
浑河,HHT,16:30
怀化南,KAQ,17:30
黄河景区,HCF,08
怀化,HHQ,17
后湖,IHN,18
和静,HJR,09
河津,HJV,15
怀集,FAQ,14
华家,HJT,16:30
河口北,HBM,15
宏克力,OKB,09
河口南,HKJ,11:30
汉口,HKN,12
呼兰,HUB,16:30
葫芦岛北,HPD,16:30
葫芦岛,HLD,16:30
海拉尔,HRX,16
哈拉海,HIT,16:30
寒岭,HAT,16:30
海林,HRB,16:30
虎林,VLB,16:30
霍林郭勒,HWD,16:30
黄陵南,VLY,18
海伦,HLB,16:30
侯马,HMV,15
黄梅东,HDU,
鲘门,KMQ,14
海门,HMU,17
哈密,HMR,09
侯马西,HPV,15
淮南,HAH,13
桦南,HNB,16:30
淮南东,HOH,13
淮南南,HNU,13
海宁西,EUH,09:30
鹤庆,HQM,15
怀柔北,HBP,16
怀仁东,HFV,15
怀柔南,IMP,16
怀柔,HRP,16
华山北,HDY,18
衡水北,IHP,16
黄山北,NYH,10
黄石东,OSN,18
和什托洛盖,VSR,09
华山,HGY,18
和硕,VUR,09
黑水,HOT,16:30
衡水,HSP,16
黄石,HSN,18
黄山,HKH,10
花山南,KNN,18
黑山寺,HVP,16
虎石台,HUT,16:30
海石湾,HSO,15
花山镇,HZA,14
黄土店,HKP,16
花土沟,HTO,15
和田,VTR,09
会同,VTQ,17:30
海湾,RWH,18
花溪大学城,HDE,
环县,KXJ,11:30
花溪南,HNE,
花溪西,HUE,
惠阳,KNQ,
衡阳,HYQ,16
河源东,HEA,
衡阳东,HVQ,16
华蓥,HUW,15:30
鄠邑,KXY,18
汉源,WHW,15:30
河源,VIQ,14
湟源,HNO,15
惠州北,HUA,
菏泽东,KDK,
菏泽,HIK,16
贺州,HXZ,17:30
华州,HXY,
湖州,VZH,09:30
汉中,HOY,12:30
惠州,HCQ,08:30
吉安,VAG,15:30
集安,JAL,16:30
建安,JUL,16:30
吉安西,JIG,15:30
江边村,JBG,
晋城东,JGF,17
金昌,JCJ,11:30
晋城,JCF,17
金城江,JJZ,17:30
景德镇北,JDG,17
建德,JDU,10:30
鸡东,JOB,16:30
景德镇,JCG,17
嘉峰,JFF,17:30
加格达奇,JGX,09:30
井冈山,JGG,15:30
近海,JHD,16:30
静海,JHP,16
蛟河,JHL,16:30
精河南,JIR,09
金华南,RNH,12
金华,JBH,12
蛟河西,JOL,16:30
金华镇,JZE,
晋江,JJS,18
九江,JJG,11
军粮城北,JMP,16
贾鲁河,JLF,13
吉林,JLL,13:30
即墨北,JVK,10:30
江门,JOQ,14
荆门,JMN,17
剑门关,JME,15:30
佳木斯,JMB,15:30
井南,JNP,16
建宁县北,JCS,18
济宁,JIK,08:30
江宁,JJH,17
集宁南,JAC,15
江宁西,OKH,17
经棚,JPC,15
建平,JAD,16:30
酒泉南,JNJ,11:30
酒泉,JQJ,11:30
金山北,EGH,09:30
吉首东,JDA,
吉首,JIQ,17:30
江山,JUH,12
尖山,JPQ,17:30
建三江,JIB,16:30
界首南,JKU,13
九台,JTL,16:30
九台南,JNL,16:30
镜铁山,JVJ,11:30
绩溪北,NRH,10
介休东,JDV,15
介休,JXV,15
靖西,JMZ,
嘉兴,JXH,09:30
鸡西,JXB,16:30
井陉,JJP,16
进贤,JUG,17:30
嘉兴南,EPH,09:30
进贤南,JXG,17:30
绩溪县,JRH,10
鸡西西,JAB,
金阳,JYE,
巨野,JYK,18
嘉峪关,JGJ,10:30
嘉峪关南,JBJ,10:30
金阳南,JNE,
简阳南,JOW,15:30
江油,JFW,15:30
金银潭,JTN,18
靖宇,JYL,16:30
锦州北,JFT,
蓟州北,JKP,16
荆州,JBN,17
金寨,JZH,12:30
锦州,JZD,08:30
金州,JZT,16:30
晋州,JXP,16
蓟州,JIP,
锦州南,JOD,08:30
焦作,JOF,17:30
焦作西,JIF,17:30
开安,KAT,16:30
库车,KCR,09
库都尔,KDX,16:30
库尔勒,KLR,09
开封北,KBF,15
开封,KFF,15
开福寺,FLQ,17:30
开化,KHU,12
康金井,KJB,16:30
岢岚,KLV,15
凯里,KLW,15:30
凯里南,QKW,15:30
库伦,KLD,16:30
开鲁,KLC,15
克拉玛依,KHR,09
喀什,KSR,09
昆山,KSH,16
克山,KSB,16:30
昆山南,KNH,16
奎屯,KTR,09
开阳,KVW,15:30
昆阳,KAM,15
开原,KYT,16:30
开原西,KXT,16:30
康庄,KZP,16
喀左,KZT,
隆安东,IDZ,17:30
六安,UAH,12:30
灵宝,LBF,17:30
来宾北,UCZ,17:30
灵宝西,LPF,17:30
绿博园,LCF,08
临沧,LXM,15
隆昌北,NWW,
乐昌东,ILQ,14:30
芦潮港,UCH,18
陆川,LKZ,17:30
龙川,LUQ,14
利川,LCN,16:30
临川,LCG,
隆昌,LCW,15:30
潞城,UTP,16
聊城,UCK,18
陵城,LGK,18
龙川西,LCA,
老城镇,ACQ,13:30
两当,LDY,18
鹿道,LDL,16:30
龙洞堡,FVW,15:30
娄底,LDQ,17
娄底南,UOQ,17:30
离堆公园,INW,15:30
廊坊,LJP,16
娄烦,USV,15
廊坊北,LFP,16
陆丰,LLQ,14
临汾,LFV,12
临汾西,LXV,12
拉古,LGB,16:30
芦官,LAE,
麓谷,BNQ,17:30
良各庄,LGP,
临河,LHC,15
柳河,LNL,16:30
漯河,LON,16:30
六合,KLH,
珞璜南,LNE,15:30
隆回,LHA,17
隆化,UHP,16
绿化,LWJ,11:30
漯河西,LBN,16:30
刘家店,UDT,16:30
龙井,LJL,16:30
临江,LQL,16:30
丽江,LHM,15
龙嘉,UJL,16:30
庐江,UJH,12:30
连江,LKS,18
庐江西,LUU,12:30
兰考,LKF,15
兰考南,LUF,15
林口,LKB,16:30
龙口市,UKK,18
吕梁,LHV,15
醴陵,LLG,17:30
兰棱,LLB,16:30
拉林,LAB,16:30
柳林南,LKV,15
陇南,INJ,11:30
辽宁朝阳,VET,16:30
梁平,UQW,15:30
滦平,UPP,16
罗平,LPM,15
梁平南,LPE,15:30
临平南,EVH,
六盘水,UMW,13:30
灵丘,LVV,15
龙桥,LQU,12:30
龙山北,LBA,16:30
灵石东,UDV,15
乐山,IVW,15:30
陵水,LIQ,13:30
丽水,USH,12
旅顺,LST,16:30
庐山,LSG,17:30
溧水,LDH,17
岚山西,UWK,08:30
黎塘,LTZ,17:30
芦台,LTP,16
临潼,LIY,
乐同,LEA,14
灵武北,UWJ,11:30
莱芜东,LWK,18
洛湾三江,KRW,15:30
泸县,LXE,
澧县,LEQ,17:30
陇西,LXJ,11:30
陇县,LXY,18
临西,UEP,
莱西,LBK,10:30
兰溪,LWH,12
良乡,LAP,16
略阳,LYY,18
辽阳,LYT,16:30
耒阳,LYQ,17:30
溧阳,LEH,17
龙岩,LYS,17
洛阳,LYF,16
临沂北,UMK,16
连云港东,UKH,17:30
洛阳东,LDF,16
连云港,UIH,17:30
临沂,LVK,16
洛阳龙门,LLF,16
柳园南,LNR,09
凌源,LYD,16:30
辽源,LYL,16:30
柳园,DHR,09
涟源,LAQ,17:30
涞源,LYP,16
罗源,LVS,18
耒阳西,LPQ,17:30
泸州,LUE,
林芝,LZO,
柳州,LZZ,16
六枝,LIW,15:30
阆中,LZE,15:30
龙镇,LZA,16:30
立志,LZX,
辽中,LZD,16:30
马鞍山东,OMH,10
麻城北,MBN,15
麻城,MCN,15
渑池南,MNF,17:30
免渡河,MDX,16:30
磨丁,VBM,
牡丹江,MDB,15:30
莫尔道嘎,MRX,16:30
帽儿山,MRB,16:30
帽儿山西,MUB,09
明光,MGH,18
满归,MHX,16:30
孟关,MGE,
磨憨,MHM,
漠河,MVX,09:30
梅河口,MHL,16:30
民和南,MNO,15
孟家岗,MGB,16:30
米兰,MIR,09
勐腊,MWM,
美兰,MHQ,13:30
弥勒,MLM,15
穆棱,MLB,16:30
茂名,MDQ,14
茂名西,MMZ,17:30
冕宁,UGW,15:30
玛纳斯,MSR,09
闽清北,MBS,18
民权,MQF,15
眉山东,IUW,15:30
名山,MSE,15:30
密山,MSB,16:30
庙山,MSN,18
马三家,MJT,16:30
米沙子,MST,16:30
麻尾,VAW,15:30
岷县,MXJ,11:30
勉县,MVY,18
绵阳,MYW,12:30
密云北,MUP,16
孟塬,HSY,
墨玉,MUR,09
门源,MYO,15
暮云,KIQ,15
密云,MYP,16
梅州,MOQ,14
孟庄,MZF,13
蒙自,MZM,15
满洲里,MLX,16
梅州西,MXA,14
宁安,NAB,16:30
农安,NAT,16:30
宁波东,NVH,
宁波,NGH,09:30
南部,NBE,15:30
南曹,NEF,13
南充北,NCE,08:30
南充,NCW,08:30
南城,NDG,17:30
南岔,NCB,16:30
南丹,NDZ,17:30
宁德,NES,18
南大庙,NMP,
宁东南,NDJ,11:30
宁东,NOJ,11:30
南芬,NFT,16:30
南丰,NFG,17:30
宁海,NHH,09:30
南湖东,NDN,18
讷河,NHX,09:30
牛河梁,LKT,
内江北,NKW,13
内江,NJW,13
嫩江,NGX,16:30
南江,FIW,15:30
牛家,NJB,16:30
南口,NKP,16
牛栏山,NLP,16
宁陵县,NLF,15
奈曼,NMD,16:30
尼木,NMO,15
南平市,NOS,18
宁强南,NOY,18
那曲,NQO,15
南通,NUH,17
南通西,NXU,17
宁武,NWV,15
南翔北,NEH,14:30
南雄,NCQ,14
宁乡,NXQ,17:30
南阳,NFF,17
南阳东,NOF,17
纳雍,NYE,15:30
南峪,NUP,16
南阳寨,NYF,08
碾子山,NZX,16:30
普安,PAN,18
蒲城东,PEY,18
平昌,PCE,15:30
平顶山,PEN,15:30
平度,PNK,18
平度西,PAK,18
平顶山西,PDF,15:30
普洱,PEM,
平房,PFB,16:30
盘锦北,PBD,15:30
盘锦,PVD,15:30
蒲江,PJE,15:30
盘龙城,PNN,18
普兰店,PLT,16:30
平凉,PIJ,11:30
平凉南,POJ,
蓬莱市,POK,18
普宁,PEQ,14
平泉北,PBP,16
平泉,PQP,16
皮山,PSR,09
磐石,PSL,16:30
坪石,PSQ,14
平山,PSB,16:30
平潭,PIS,18
莆田,PTS,18
萍乡北,PBG,09
凭祥,PXZ,17:30
萍乡,PXG,09
普雄,POW,15:30
郫县,PWW,15:30
郫县西,PCW,15:30
濮阳,PYF,12
平阳,ARH,09:30
平遥古城,PDV,15
濮阳东,PUF,
平原东,PUK,18
彭泽,PZG,17:30
普者黑,PZM,15
盘州,PAE,15:30
攀枝花,PRW,14:30
彭州,PMW,15:30
攀枝花南,PNE,14:30
彭州南,PKW,15:30
庆安,QAB,16:30
青白江东,QFW,15:30
清城,QCA,14
蕲春,QRN,16:30
青川,QCE,15:30
青城山,QSW,15:30
青岛,QDK,09:30
青岛北,QHK,09:30
千岛湖,QDU,10:30
启东,QOU,17
青岛西,QUK,18
曲阜东,QAK,16:30
前锋,QFB,16:30
曲阜,QFK,16:30
琼海,QYQ,13:30
清河城,QYP,16
秦皇岛,QTP,15:30
清河,QIP,16
清华园,QHP,16
曲靖北,QBM,15
綦江东,QDE,15:30
黔江,QNW,15:30
曲靖,QJM,15
前进镇,QEB,16:30
邛崃,QLE,15:30
清流,QLS,
齐齐哈尔,QHX,09
齐齐哈尔南,QNB,09
潜山,QSU,
庆盛,QSQ,14
曲水县,QSO,15
七台河,QTB,16:30
青铜峡,QTJ,11:30
七台河西,QXB,
渠县,QRW,15:30
沁县,QVV,15
清徐,QUV,15
庆阳,QOJ,11:30
清远,QBQ,14
庆元,QYU,12
钦州东,QDZ,17:30
泉州东,QRS,18
乔庄东,QEP,16
衢州,QEH,12
泉州,QYS,18
全州南,QNZ,17:30
清镇西,QUE,15:30
融安,RAZ,17:30
瑞安,RAH,09:30
荣昌北,RQW,15:30
荣成,RCK,10:30
如东,RIH,17
汝箕沟,RQJ,
瑞金,RJG,17:30
日喀则,RKO,15
饶平,RVQ,14
若羌,RQR,09
日照,RZK,08:30
日照西,KZK,08:30
肃北,SBJ,11:30
双城北,SBB,16:30
舒城东,SDU,12:30
莎车,SCR,09
沙城,SCP,16
宋城路,SFF,08
双城堡,SCB,16:30
邵东,FIQ,17:30
十渡,SEP,16
双峰北,NFQ,17:30
双丰,OFB,16:30
绥芬河,SFB,16
韶关东,SGQ,14
韶关,SNQ,14
沙河,SHP,16
商河,SOK,18
山海关,SHD,08:30
沙河市,VOP,16
山河屯,SHL,16:30
绥化,SHB,16:30
石河子,SZR,09
