SZH,28,5
SHH,73
SHH,,12:15,1462,,210625-1010
KSH,36,6
SZH,24,5
WXH,28,4
CZH,27,4
NJH,103,10
CUH,38,5
MGH,43,4
BBH,44,6
OXH,56,10
XCH,60,10
ZFK,87,2
TXK,22,2
ZIK,57,4
TAK,68,10,,1,210626-1011
JNK,59,6
COP,219,17
QXP,20,2
JHP,26,3
TXP,38,6
YBP,24,2
LFP,22,36
BJP,100
SHH,,12:15,1462,,211011-25
KSH,37,5
SZH,24,5
WXH,28,4
CZH,27,4
NJH,103,10
CUH,38,5
MGH,43,4
BBH,44,6
XCH,126,10
ZFK,87,2
TXK,22,2
ZIK,57,4
TAK,68,11,,1,211012-26
JNK,55,7
COP,221,17
QXP,20,2
JHP,26,3
TXP,38,6
YBP,24,2
LFP,23,33
BJP,102
DTV,,07:50,1551,,210625-1010
YZV,47,2
YPV,69,3
XXV,24,3
YQV,44,2
TYV,34,23
YCV,21,3
YSV,131,3
WVV,35,3
CBF,134,15
CZF,15,4
JCF,95,8
JOF,77,5
XXF,51,19
ZZF,61,27
KFF,45,3,,1,210626-1011
XCH,174,15
PJH,52,3
VIH,29,3
UIH,80,11
UKH,29
DTV,,07:49,1551,,211011-25
HFV,36,2
YPV,81,3
XXV,24,3
YQV,44,2
TYV,34,23
YCV,21,3
YSV,131,3
WVV,35,3
CBF,134,15
CZF,15,4
JCF,97,4
JOF,77,2
XXF,50,25
ZZF,61,27
KFF,45,3,,1,211012-26
XCH,174,15
PJH,52,3
VIH,29,3
DQH,30,4
UIH,46,11
UKH,29
UKH,,08:27,1552,,210626-0711|20-1025
UIH,28,6
VIH,59,4
PJH,24,6
XCH,57,10
KOH,33,4
DKH,21,3
IXH,53,3
SQF,15,4
MQF,37,4
LKF,22,4
KFF,31,3
ZZF,46,10
XXF,63,30
JOF,55,6
JCF,85,5
GPF,45,5
CZF,53,5
CBF,19,40
EIF,27,12,,1,210627-0712|21-1026
QVV,57,2
WVV,26,2
YCV,181,4
TYV,25,21
XXV,75,3
YPV,24,3
SNV,52,2
YZV,16,2
HFV,16,2
DTV,43
NDC,,18:53,1818,,210625-1010
