YAX,27,5
KSB,48,8
KOB,27,6
BAB,23
BAB,,05:31,4082
KOB,23,8
KSB,31,3
古城,14,2
YAX,27,7
FHX,27,2
FYX,28,5
THX,22,2
FTX,12,2
高头,9,2
QHX,11
TLX,,15:01,4085
PYX,24,2
JQX,19,3
DXX,13,3
TCX,12,2
SFX,16,5
YSX,14,2
QHX,19
QHX,,10:18,4086
SFX,29,2
TCX,13,6
DXX,13,2
JQX,13,2
PYX,20,2
TLX,28
SFX,,08:51,4095
YSX,15,2
QHX,18
JMB,,07:05,4135
TEB,48,2
FZB,14,2
BSB,13,6
FTB,13,3
VHB,40,2
EYB,15,2
FIB,60,2
JIB,52,2
VTB,30,2
QEB,20
QEB,,13:01,4136
VTB,17,2
JIB,27,2
FIB,49,2
EYB,56,2
VHB,15,2
FTB,49,3
BSB,12,2
TEB,21,6
JMB,50
YEX,,18:08,4167
GEX,45,8
DRX,72,4
MRX,63
MRX,,09:28,4168
DRX,61,8
GEX,78,5
YEX,49
MDB,,07:08,4171,,220408
CHB,25,3
五林,14,07:50
ZUB,12,2
BNB,30,2
CSB,13,2
XDB,12,2
LKB,19,6
GZB,11,2
亚河,22,8
BLB,90,10
阎家,37,12:30
HNB,58,6
MGB,22,2
申家店,22,2
JMB,36,70
LHB,13,12
XHB,38,4
HGB,80,5
BQB,36,4
HMB,15
MDB,,07:08,4171,,220409-0519
CHB,25,3
五林,14,07:50
ZUB,12,2
BNB,30,2
CSB,13,2
XDB,12,2
LKB,19,6
GZB,11,2
亚河,22,8
BLB,90,10
阎家,37,12:30
HNB,58,6
MGB,22,2
申家店,22,2
长发屯,20,2
JMB,19
HMB,,07:40,4172
BQB,16,3
HGB,37,5
LHB,64,8
JMB,16,29
长发屯,20,2
申家店,19,2
HNB,54,5
BLB,73,30
QTB,70,45
虎山,115,1
GZB,67,2
LKB,12,10
XDB,19,2
CSB,12,2
BNB,13,2
ZUB,28,2
五林,5,20:50
CHB,20,2
MDB,29
MHX,,09:43,4182
ASX,59,5
JHX,66,5
金林,12,12:10
GEX,96,6
YEX,68,20
XZX,40,16:00
KDX,75,5
原林,25,5
岩山,29,4
WHX,25,7
煤田,14,4
牧原,17,5
YKX,41,6
HRX,68
HRX,,08:46,4184
DYX,49,2
YKX,18,5
牧原,48,5
煤田,19,4
WHX,13,6
岩山,26,11
原林,30,4
KDX,27,8
XZX,39,14:00
TEX,97,28
YEX,32,20
GEX,51,7
金林,5,18:00
JHX,102,5
ASX,69,4
MHX,58
JGX,,16:05,4185
AHX,55,8
JWX,75,6
GAX,18,20
SHX,23,19:30
KHX,35,3
KQX,52,3
YEX,57
YEX,,04:23,4186
KQX,56,2
KHX,49,3
SHX,47,07:00
GAX,12,28
JWX,16,7
AHX,64,8
JGX,51
QHX,,09:05,4187
YSX,17,2
FRX,20,2
虎尔虎拉,9,2
LJX,26,2
NZX,25,2
CJX,22,2
ZTX,30,3
HAX,26,2
BLX,28,2
喇嘛山,11,2
雅鲁,21,2
沟口,19,2
BKX,14,6
WRX,65,2
MDX,32,2
YKX,27,5
DYX,17,2
扎罗木得,10,2
哈克,30,2
HRX,32,8
完工,50,2
CAX,45,2
ZXX,31,3
MLX,25
MLX,,05:22,4188
ZXX,23,3
CAX,30,2
完工,44,2
HRX,55,10
哈克,26,2
扎罗木得,23,2
DYX,10,2
YKX,18,12
MDX,26,3
BKX,86,6
沟口,13,2
HAX,68,2
ZTX,29,4
CJX,24,3
NZX,21,3
LJX,26,3
虎尔虎拉,25,2
FRX,16,2
AAX,14,2
QHX,24
HRX,,09:38,4191
CAX,87,5
ZXX,28,4
MLX,26
MLX,,09:00,4192
ZXX,25,4
CAX,39,3
HRX,96
AST,,07:40,4215
LYT,19,2
DGT,17,2
SXT,23,4
SYT,18,8
SBT,7
SBT,,20:58,4216
SYT,7,8
